locus_tag	ftype	length_bp	gene	EC_number	COG	product
EIEOCHKN_00001	CDS	276	galE_1	5.1.3.2	COG1087	UDP-glucose 4-epimerase
EIEOCHKN_00002	CDS	1215	galT_1	2.7.7.12		Galactose-1-phosphate uridylyltransferase
EIEOCHKN_00003	CDS	1761	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
EIEOCHKN_00004	CDS	315			COG0718	Nucleoid-associated protein
EIEOCHKN_00005	CDS	531				hypothetical protein
EIEOCHKN_00006	CDS	819	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
EIEOCHKN_00007	CDS	636	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
EIEOCHKN_00008	CDS	831	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
EIEOCHKN_00009	CDS	357	ytcD		COG1733	putative HTH-type transcriptional regulator YtcD
EIEOCHKN_00010	CDS	1191	ydhP		COG2814	Inner membrane transport protein YdhP
EIEOCHKN_00011	CDS	1362	emrB_1			Colistin resistance protein EmrB
EIEOCHKN_00012	CDS	786				hypothetical protein
EIEOCHKN_00013	CDS	564	ykoE		COG4721	Putative HMP/thiamine permease protein YkoE
EIEOCHKN_00014	CDS	1359	ykoD_1	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
EIEOCHKN_00015	CDS	654				hypothetical protein
EIEOCHKN_00016	CDS	663	tenA	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
EIEOCHKN_00017	CDS	597	recR		COG0353	Recombination protein RecR
EIEOCHKN_00018	CDS	639	tmk_1	2.7.4.9	COG0125	Thymidylate kinase
EIEOCHKN_00019	CDS	330	darA		COG3870	Cyclic di-AMP receptor A
EIEOCHKN_00020	CDS	951				hypothetical protein
EIEOCHKN_00021	CDS	840				hypothetical protein
EIEOCHKN_00022	CDS	348	yabA		COG4467	Initiation-control protein YabA
EIEOCHKN_00023	CDS	873	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
EIEOCHKN_00024	CDS	663	fetA	3.6.3.-	COG4619	putative iron export ATP-binding protein FetA
EIEOCHKN_00025	CDS	759	fetB		COG0390	putative iron export permease protein FetB
EIEOCHKN_00026	CDS	1119	dinB_1	2.7.7.7	COG0389	DNA polymerase IV
EIEOCHKN_00027	CDS	597	cutD	1.97.1.-		Choline trimethylamine-lyase activating enzyme
EIEOCHKN_00028	CDS	2184	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
EIEOCHKN_00029	CDS	768	bceA		COG1136	Bacitracin export ATP-binding protein BceA
EIEOCHKN_00030	CDS	2097	bceB		COG0577	Bacitracin export permease protein BceB
EIEOCHKN_00031	CDS	150				hypothetical protein
EIEOCHKN_00032	CDS	1521	dltA	6.2.1.54	COG1020	D-alanine--D-alanyl carrier protein ligase
EIEOCHKN_00033	CDS	1206				hypothetical protein
EIEOCHKN_00034	CDS	237	dltC		COG0236	D-alanyl carrier protein
EIEOCHKN_00035	CDS	1275	dltD		COG3966	Protein DltD
EIEOCHKN_00036	CDS	1083	ysdC_1	3.4.11.-	COG1363	Putative aminopeptidase YsdC
EIEOCHKN_00037	CDS	792				hypothetical protein
EIEOCHKN_00038	CDS	741			COG1234	putative protein
EIEOCHKN_00039	CDS	1005	lplJ	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
EIEOCHKN_00040	CDS	690	trmR	2.1.1.-	COG4122	tRNA 5-hydroxyuridine methyltransferase
EIEOCHKN_00041	CDS	564	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
EIEOCHKN_00042	CDS	1683		1.18.1.2		Ferredoxin--NADP reductase
EIEOCHKN_00043	CDS	591				hypothetical protein
EIEOCHKN_00044	CDS	534	polC_1	2.7.7.7	COG2176	DNA polymerase III PolC-type
EIEOCHKN_00045	CDS	756	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
EIEOCHKN_00046	CDS	915	yceM	1.-.-.-	COG0673	Putative oxidoreductase YceM
EIEOCHKN_00047	CDS	903	murB_1	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
EIEOCHKN_00048	CDS	882				hypothetical protein
EIEOCHKN_00049	CDS	609				hypothetical protein
EIEOCHKN_00050	CDS	639				hypothetical protein
EIEOCHKN_00051	CDS	153	rpmG3		COG0267	50S ribosomal protein L33 3
EIEOCHKN_00052	CDS	171	secE			Protein translocase subunit SecE
EIEOCHKN_00053	CDS	546	nusG		COG0250	Transcription termination/antitermination protein NusG
EIEOCHKN_00054	CDS	879				hypothetical protein
EIEOCHKN_00055	CDS	723	glvR		COG1737	HTH-type transcriptional regulator GlvR
EIEOCHKN_00056	CDS	1629	dppE_1		COG4166	Dipeptide-binding protein DppE
EIEOCHKN_00057	CDS	1104	ysdC_2	3.4.11.-	COG1363	Putative aminopeptidase YsdC
EIEOCHKN_00058	CDS	846	dppA	3.4.11.-	COG2362	D-aminopeptidase
EIEOCHKN_00059	CDS	873	sdhA_1	4.3.1.17		L-serine dehydratase, alpha chain
EIEOCHKN_00060	CDS	669	sdhB	4.3.1.17		L-serine dehydratase, beta chain
EIEOCHKN_00061	CDS	1497	lsa(A)			ABC-F type ribosomal protection protein Lsa(A)
EIEOCHKN_00062	CDS	423	rplK			50S ribosomal protein L11
EIEOCHKN_00063	CDS	690	rplA			50S ribosomal protein L1
EIEOCHKN_00064	CDS	501	rplJ			50S ribosomal protein L10
EIEOCHKN_00065	CDS	369	rplL		COG0222	50S ribosomal protein L7/L12
EIEOCHKN_00066	CDS	864				hypothetical protein
EIEOCHKN_00067	CDS	831	rhaR_1			HTH-type transcriptional activator RhaR
EIEOCHKN_00068	CDS	1500	ygjI		COG0531	Inner membrane transporter YgjI
EIEOCHKN_00069	CDS	3078	ebgA	3.2.1.23	COG3250	Evolved beta-galactosidase subunit alpha
EIEOCHKN_00070	CDS	249				hypothetical protein
EIEOCHKN_00071	CDS	1371	rlmCD_1	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
EIEOCHKN_00072	CDS	801	recX			Regulatory protein RecX
EIEOCHKN_00073	CDS	1185	mutY	3.2.2.31		Adenine DNA glycosylase
EIEOCHKN_00074	CDS	1125	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
EIEOCHKN_00075	CDS	432				hypothetical protein
EIEOCHKN_00076	CDS	525				hypothetical protein
EIEOCHKN_00077	CDS	822	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
EIEOCHKN_00078	CDS	1188				TelA-like protein
EIEOCHKN_00079	CDS	681				hypothetical protein
EIEOCHKN_00080	CDS	585	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
EIEOCHKN_00081	CDS	297				hypothetical protein
EIEOCHKN_00082	CDS	696	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
